"","method","nsnp","b","se","pval","exp","run","mode"
"3143","Inverse variance weighted",20,0.408553452892918,0.0187408709638917,2.3135098467612e-105,1,15,"D"
"4143","Simple mode",20,0.434670890412516,0.0500442117350832,4.83772218893653e-08,1,15,"D"
"5143","Weighted mode",20,0.429814319942655,0.0397503227005931,1.47326421156484e-09,1,15,"D"
"exposure1143","mvmr",50,0.399438358232445,0.0160010339331959,2.49447447878591e-31,1,15,"D"
"exposure2143","mvmr",50,0.207223797014506,0.186008504727736,0.270189525316234,2,15,"D"
"1153","MR Egger",20,0.520470552903803,0.107043189585495,0.000125201548984861,1,16,"D"
"2153","Weighted median",20,0.364853804150595,0.0250940968274015,6.81601953495215e-48,1,16,"D"
"3153","Inverse variance weighted",20,0.39689408254268,0.0209015795186436,2.1144977875001e-80,1,16,"D"
"4153","Simple mode",20,0.356571008741509,0.0413060815008446,5.31697867996222e-08,1,16,"D"
"5153","Weighted mode",20,0.346341477414551,0.0374103536398359,1.79543236365826e-08,1,16,"D"
"exposure1153","mvmr",50,0.390050746039942,0.0158764605567358,5.51655046131774e-31,1,16,"D"
"exposure2153","mvmr",50,0.391241090831177,0.131694367362276,0.00442593897120647,2,16,"D"
"1163","MR Egger",21,0.058411623523165,0.130622288272292,0.659801387515209,1,17,"D"
"2163","Weighted median",21,0.390767902812736,0.0207816391340692,7.06713019217673e-79,1,17,"D"
"3163","Inverse variance weighted",21,0.401874765139802,0.0138917972606657,5.16793465147523e-184,1,17,"D"
"4163","Simple mode",21,0.395392128417765,0.0377637835619812,1.45312494333109e-09,1,17,"D"
"5163","Weighted mode",21,0.391998799926749,0.0356293646936122,6.20387399076404e-10,1,17,"D"
"exposure1163","mvmr",50,0.398812835739459,0.013371793638579,3.17929343213029e-35,1,17,"D"
"exposure2163","mvmr",50,0.542931024081062,0.174695155191737,0.00300371852530332,2,17,"D"
"1173","MR Egger",19,0.040853840697838,0.0252075121558943,0.123481232649793,1,18,"D"
"2173","Weighted median",19,0.314258031025285,0.0226278861974788,7.48076473760244e-44,1,18,"D"
"3173","Inverse variance weighted",19,0.292055673667272,0.0326062959408889,3.3353144356693e-19,1,18,"D"
"4173","Simple mode",19,0.341726746397331,0.0326049876788663,4.31474896423026e-09,1,18,"D"
"5173","Weighted mode",19,0.337869804210234,0.0392417903865964,8.47486015512375e-08,1,18,"D"
"exposure1173","mvmr",50,0.358469997293503,0.0130499873742696,2.0644274290053e-33,1,18,"D"
"exposure2173","mvmr",50,1.86348373540706,0.186292484753451,6.76640994005788e-14,2,18,"D"
"1183","MR Egger",16,0.0626049261946073,0.11043145159201,0.579750381314799,1,19,"D"
"2183","Weighted median",16,0.374105581346763,0.0294751093045298,6.52794461104679e-37,1,19,"D"
"3183","Inverse variance weighted",16,0.385685371053387,0.0194197690132569,8.95032621042195e-88,1,19,"D"
"4183","Simple mode",16,0.401049228080513,0.052624701932939,1.55745574222174e-06,1,19,"D"
"5183","Weighted mode",16,0.388947221121557,0.0471740570073896,5.92782869421587e-07,1,19,"D"
"exposure1183","mvmr",50,0.388602018786802,0.0165152635018955,4.66747664385062e-30,1,19,"D"
"exposure2183","mvmr",50,0.104377285093759,0.16151789593054,0.520869197674619,2,19,"D"
"1193","MR Egger",13,0.535261303705992,0.0556396878776204,1.08712880839562e-06,1,20,"D"
"2193","Weighted median",13,0.380604538420201,0.0377192261906424,6.08803224090205e-24,1,20,"D"
"3193","Inverse variance weighted",13,0.432645201943032,0.0298232690710291,1.09453117227902e-47,1,20,"D"
"4193","Simple mode",13,0.369905247397258,0.0660680131292367,0.00011635049494338,1,20,"D"
"5193","Weighted mode",13,0.372989590745022,0.0631416266076377,7.17251353631969e-05,1,20,"D"
"exposure1193","mvmr",50,0.364500580105584,0.0236194400176556,1.90324068640755e-21,1,20,"D"
"exposure2193","mvmr",50,0.78295787046047,0.250349542073749,0.00283962029629542,2,20,"D"
"1203","MR Egger",17,-0.0363361877948305,0.233165381670557,0.878238066027659,1,21,"D"
"2203","Weighted median",17,0.351539248691454,0.0278895342183835,1.98924757286525e-36,1,21,"D"
"3203","Inverse variance weighted",17,0.390197716014899,0.0212525408699538,2.74353718424669e-75,1,21,"D"
"4203","Simple mode",17,0.342798869138897,0.0463311473364535,1.5046233422104e-06,1,21,"D"
"5203","Weighted mode",17,0.337573473613527,0.0421212812362061,5.41820977863812e-07,1,21,"D"
"exposure1203","mvmr",50,0.379884099648452,0.0173903808886159,1.77500754431113e-28,1,21,"D"
"exposure2203","mvmr",50,0.201273119322872,0.159594765492155,0.212675755886398,2,21,"D"
"1215","MR Egger",19,0.0452001205977081,0.145310123655294,0.759537105179765,1,22,"D"
"2215","Weighted median",19,0.379849811221535,0.0275017832948104,2.16282674650944e-43,1,22,"D"
"3215","Inverse variance weighted",19,0.408534027527774,0.018289114383758,1.59553712962466e-110,1,22,"D"
"4215","Simple mode",19,0.374815783810561,0.0513235375244832,8.75276041155702e-07,1,22,"D"
"5215","Weighted mode",19,0.369658919538461,0.0437875467773182,1.12974534961718e-07,1,22,"D"
"exposure1215","mvmr",50,0.40409682373925,0.0175234880589789,1.25835671405495e-29,1,22,"D"
"exposure2215","mvmr",50,-0.110148876722389,0.133962650442843,0.414558710273959,2,22,"D"
"1223","MR Egger",17,0.168965827611773,0.18159534381384,0.366870550842166,1,23,"D"
"2223","Weighted median",17,0.38333178160593,0.0288157623049352,2.22808733312227e-40,1,23,"D"
"3223","Inverse variance weighted",17,0.387531178134553,0.0169496686099298,1.06924052445459e-115,1,23,"D"
"4223","Simple mode",17,0.393270387435648,0.0461358245182269,2.41105178912573e-07,1,23,"D"
"5223","Weighted mode",17,0.381359655867907,0.0475359283739754,5.34643359945777e-07,1,23,"D"
"exposure1223","mvmr",50,0.385513797907741,0.0198883070073026,5.49459238108659e-26,1,23,"D"
"exposure2223","mvmr",50,0.881081621422255,0.182464461138238,1.17156336849927e-05,2,23,"D"
"1233","MR Egger",19,0.266083709590448,0.172666902873985,0.141718685160447,1,24,"D"
"2233","Weighted median",19,0.355595029878445,0.0256604896635743,1.14298589722671e-43,1,24,"D"
"3233","Inverse variance weighted",19,0.377155056719765,0.0170209845139977,8.68808112011679e-109,1,24,"D"
"4233","Simple mode",19,0.435839430966041,0.0526952971728134,1.52017439570785e-07,1,24,"D"
"5233","Weighted mode",19,0.336846817376135,0.0530991885243453,5.61759739332526e-06,1,24,"D"
"exposure1233","mvmr",50,0.38016779301955,0.0182722695320826,1.87318925260226e-27,1,24,"D"
"exposure2233","mvmr",50,0.293019649676606,0.163095596549049,0.0779911320188596,2,24,"D"
"1243","MR Egger",15,0.119088235561385,0.13353693126742,0.388708850405562,1,25,"D"
"2243","Weighted median",15,0.370706817061531,0.0281022930230503,9.84240409682549e-40,1,25,"D"
"3243","Inverse variance weighted",15,0.38696133830063,0.0203770314807684,2.06037494220088e-80,1,25,"D"
"4243","Simple mode",15,0.373161724921217,0.0490732452286808,2.45962704210551e-06,1,25,"D"
"5243","Weighted mode",15,0.361868853104734,0.041094233059075,4.40468500723948e-07,1,25,"D"
"exposure1243","mvmr",50,0.368415332600645,0.0173441754090375,6.89448938299077e-28,1,25,"D"
"exposure2243","mvmr",50,0.474845615981612,0.17657120992068,0.00950577696817739,2,25,"D"
"1253","MR Egger",18,0.343739540229676,0.0269789468830851,8.59510521542719e-10,1,26,"D"
"2253","Weighted median",18,0.351763980622261,0.02105023351378,1.09555722378806e-62,1,26,"D"
"3253","Inverse variance weighted",18,0.359951297661033,0.0162768505356158,2.30208306513653e-108,1,26,"D"
"4253","Simple mode",18,0.359560042508139,0.0327100605060101,3.80282152651649e-09,1,26,"D"
"5253","Weighted mode",18,0.352119386149611,0.0232865233012836,2.72488885995917e-11,1,26,"D"
"exposure1253","mvmr",50,0.378668684267369,0.019455919659639,4.53234529168822e-26,1,26,"D"
"exposure2253","mvmr",50,-0.201023181935963,0.228002095876425,0.381861647249019,2,26,"D"
"1263","MR Egger",17,0.112532866703566,0.0303245908784031,0.00209167692414599,1,27,"D"
"2263","Weighted median",17,0.286898311581492,0.0311209191451996,3.00373198220902e-20,1,27,"D"
"3263","Inverse variance weighted",17,0.306253329088165,0.03228082466139,2.37415643402588e-21,1,27,"D"
"4263","Simple mode",17,0.3806130687936,0.0533349938410802,2.36210325347528e-06,1,27,"D"
"5263","Weighted mode",17,0.368919567125149,0.042387034288467,1.82706130653096e-07,1,27,"D"
"exposure1263","mvmr",50,0.365405329792886,0.0184463691349642,1.96233131574536e-26,1,27,"D"
"exposure2263","mvmr",50,1.1360449038313,0.188989420554465,1.63655772654999e-07,2,27,"D"
"1273","MR Egger",14,-0.0776089560501846,0.125527783798817,0.547958686967438,1,28,"D"
"2273","Weighted median",14,0.374343025627075,0.0305672346979724,1.75305775693505e-34,1,28,"D"
"3273","Inverse variance weighted",14,0.376827206975613,0.0225195945744172,7.49629035547384e-63,1,28,"D"
"4273","Simple mode",14,0.405504490801599,0.0587907516802505,1.08946546321405e-05,1,28,"D"
"5273","Weighted mode",14,0.393973369715006,0.0472750484277796,1.42563838470886e-06,1,28,"D"
"exposure1273","mvmr",50,0.367934954741902,0.0185049837935364,1.64335250726626e-26,1,28,"D"
"exposure2273","mvmr",50,0.603922287108181,0.181871009082678,0.00161488637724325,2,28,"D"
"1283","MR Egger",18,0.244038409402082,0.078080823977232,0.00652244009787472,1,29,"D"
"2283","Weighted median",18,0.375571209583304,0.0299383119187359,4.24292476789117e-36,1,29,"D"
"3283","Inverse variance weighted",18,0.381394168305681,0.0241658325430678,4.11428835824511e-56,1,29,"D"
"4283","Simple mode",18,0.390747579187527,0.059605224151633,4.89860053830157e-06,1,29,"D"
"5283","Weighted mode",18,0.375589988744366,0.0548467228024588,2.83066944430639e-06,1,29,"D"
"exposure1283","mvmr",50,0.385255866770531,0.0212957930435114,1.40238270166207e-24,1,29,"D"
"exposure2283","mvmr",50,0.132660501500216,0.175702481985657,0.453512033920365,2,29,"D"
"1293","MR Egger",19,-0.00233795417770171,0.138924218096477,0.986768978510915,1,30,"D"
"2293","Weighted median",19,0.406317280429689,0.024975577377477,1.64927536589186e-59,1,30,"D"
"3293","Inverse variance weighted",19,0.400359965524746,0.0180141346356652,1.97902163905603e-109,1,30,"D"
"4293","Simple mode",19,0.420888078293969,0.0489585916916406,8.66651316965989e-08,1,30,"D"
"5293","Weighted mode",19,0.419032045738673,0.0594851646412499,1.42739175195025e-06,1,30,"D"
"exposure1293","mvmr",50,0.37934489334237,0.0156166664419551,9.67763981782866e-31,1,30,"D"
"exposure2293","mvmr",50,0.763788482000748,0.201507841430232,0.000380876103282274,2,30,"D"
"1303","MR Egger",21,0.286311954896162,0.100187328772632,0.0100696271387424,1,31,"D"
"2303","Weighted median",21,0.374062105063913,0.0245340675369203,1.73324642626288e-52,1,31,"D"
"3303","Inverse variance weighted",21,0.394940591041245,0.0209878932432544,5.4241870858456e-79,1,31,"D"
"4303","Simple mode",21,0.408949091884138,0.0439312078307499,1.04025270716451e-08,1,31,"D"
"5303","Weighted mode",21,0.380064447069984,0.0379589698320144,3.09796565242081e-09,1,31,"D"
"exposure1303","mvmr",50,0.39778227096729,0.017043998307514,6.97763423726859e-30,1,31,"D"
"exposure2303","mvmr",50,0.060624425326288,0.17765061403492,0.734234827616023,2,31,"D"
"1315","MR Egger",20,0.854132606406768,0.0957583227508102,5.03216715583218e-08,1,32,"D"
"2315","Weighted median",20,0.362292385311862,0.0226590339666852,1.52773136249707e-57,1,32,"D"
"3315","Inverse variance weighted",20,0.40101768289283,0.0274288935897013,2.08587984437383e-48,1,32,"D"
"4315","Simple mode",20,0.357350271389529,0.036223362137069,6.5462785210412e-09,1,32,"D"
"5315","Weighted mode",20,0.355702822456655,0.0351875578275067,4.42009001347913e-09,1,32,"D"
"exposure1315","mvmr",50,0.370311709485854,0.0143134261259415,4.1910107391925e-32,1,32,"D"
"exposure2315","mvmr",50,0.892242591144593,0.133074660347509,1.24174470384102e-08,2,32,"D"
"1323","MR Egger",21,0.201754909284867,0.0938594960746521,0.0446855565928748,1,33,"D"
"2323","Weighted median",21,0.387728186721763,0.0228755669459053,1.94275770589732e-64,1,33,"D"
"3323","Inverse variance weighted",21,0.394427240740176,0.0195082410057702,6.73075001520516e-91,1,33,"D"
"4323","Simple mode",21,0.381174899835562,0.0449277851315029,4.64745610428047e-08,1,33,"D"
"5323","Weighted mode",21,0.378639774117246,0.0449955289632837,5.28941542713661e-08,1,33,"D"
"exposure1323","mvmr",50,0.393952893748011,0.0153308565459466,5.88386952925698e-32,1,33,"D"
"exposure2323","mvmr",50,0.222712587879471,0.163309267704407,0.178305216395176,2,33,"D"
"1333","MR Egger",18,0.782919358923437,0.0812088643461838,4.55841164820398e-08,1,34,"D"
"2333","Weighted median",18,0.402671458294202,0.0303947811079012,4.63104335182223e-40,1,34,"D"
"3333","Inverse variance weighted",18,0.4580422129281,0.0348217726642873,1.61612458841366e-39,1,34,"D"
"4333","Simple mode",18,0.388377423732725,0.0474258295441342,2.6513673859815e-07,1,34,"D"
"5333","Weighted mode",18,0.378590443298669,0.0442321741425191,1.43752158105854e-07,1,34,"D"
"exposure1333","mvmr",50,0.400481864198823,0.0222053217020428,1.61678819764367e-24,1,34,"D"
"exposure2333","mvmr",50,0.876918552256634,0.154751697099343,5.80544341569695e-07,2,34,"D"
"1343","MR Egger",19,-0.154730186168619,0.141860391384778,0.290614331386127,1,35,"D"
"2343","Weighted median",19,0.376550224955917,0.0226956253517905,8.05401345908036e-62,1,35,"D"
"3343","Inverse variance weighted",19,0.381225224579916,0.016509414050239,5.65143015741603e-118,1,35,"D"
"4343","Simple mode",19,0.37616882128878,0.0399365798686694,2.22484581428662e-08,1,35,"D"
"5343","Weighted mode",19,0.373624426173603,0.0385746687233456,1.45648933313562e-08,1,35,"D"
"exposure1343","mvmr",50,0.380730327789171,0.0144351277999027,1.59494175526146e-32,1,35,"D"
"exposure2343","mvmr",50,-0.0186395233599877,0.173620557781525,0.914903005628608,2,35,"D"
"1353","MR Egger",19,0.0218260836240626,0.122724108499512,0.860945311714268,1,36,"D"
"2353","Weighted median",19,0.375156203750623,0.0243119987409441,1.01433827466999e-53,1,36,"D"
"3353","Inverse variance weighted",19,0.393061491878927,0.0188934489298875,3.97220216380748e-96,1,36,"D"
"4353","Simple mode",19,0.388797464859331,0.0432787194714706,4.52568641498141e-08,1,36,"D"
"5353","Weighted mode",19,0.38436723009573,0.0436162767376389,6.01901720180025e-08,1,36,"D"
"exposure1353","mvmr",50,0.393188297793841,0.014518098781851,4.21618386037853e-33,1,36,"D"
"exposure2353","mvmr",50,0.0514097101390904,0.132808453477066,0.700206061687291,2,36,"D"
"1363","MR Egger",21,0.598731292167482,0.0745448592444853,1.5799013525413e-07,1,37,"D"
"2363","Weighted median",21,0.435700793718683,0.0278017166031909,2.36092456153933e-55,1,37,"D"
"3363","Inverse variance weighted",21,0.454391402983593,0.0193179951941984,2.44860102866284e-122,1,37,"D"
"4363","Simple mode",21,0.433979081577652,0.0424770986876419,2.20322595873362e-09,1,37,"D"
"5363","Weighted mode",21,0.426385014858561,0.0411688980764977,1.74847315763676e-09,1,37,"D"
"exposure1363","mvmr",50,0.424583114559219,0.0196022058613957,2.67998372796562e-28,1,37,"D"
"exposure2363","mvmr",50,0.515803372595636,0.161772599957988,0.00238083110371946,2,37,"D"
"1373","MR Egger",19,-0.0452390132852707,0.11382129139735,0.695976952358836,1,38,"D"
"2373","Weighted median",19,0.386237141512026,0.0236164336237169,4.03399758624016e-60,1,38,"D"
"3373","Inverse variance weighted",19,0.393047928169741,0.0172852202133437,1.84551351658388e-114,1,38,"D"
"4373","Simple mode",19,0.389762570021288,0.0434700647226916,4.65764187634242e-08,1,38,"D"
"5373","Weighted mode",19,0.38869719565222,0.0458588076182246,1.06579950408493e-07,1,38,"D"
"exposure1373","mvmr",50,0.395468589503228,0.0172872866172626,1.86453456861502e-29,1,38,"D"
"exposure2373","mvmr",50,0.943858278306746,0.177717414173303,2.11031133080974e-06,2,38,"D"
"1383","MR Egger",17,0.255094313053936,0.0178551034756925,3.8532797562282e-10,1,39,"D"
"2383","Weighted median",17,0.286512111196153,0.0199275656541716,7.14524073644775e-47,1,39,"D"
"3383","Inverse variance weighted",17,0.326336713120687,0.0212325574490245,2.61628510545851e-53,1,39,"D"
"4383","Simple mode",17,0.350570084243171,0.0631684118672047,4.39670545306879e-05,1,39,"D"
"5383","Weighted mode",17,0.27224081361554,0.0204431112277261,4.48793282306074e-10,1,39,"D"
"exposure1383","mvmr",50,0.391223922029477,0.0182645116462169,4.59990732517644e-28,1,39,"D"
"exposure2383","mvmr",50,1.04794985821434,0.227477584260823,2.53372064529833e-05,2,39,"D"
"1393","MR Egger",19,0.00807777263751813,0.13934225509524,0.95444790504761,1,40,"D"
"2393","Weighted median",19,0.397953272147961,0.0247527554348678,3.6908480533234e-58,1,40,"D"
"3393","Inverse variance weighted",19,0.408746816469593,0.0157342102660706,8.72880333438521e-149,1,40,"D"
"4393","Simple mode",19,0.403533637719263,0.0395826511623749,6.63221240751821e-09,1,40,"D"
"5393","Weighted mode",19,0.398803543395713,0.036694538756198,2.44365576965556e-09,1,40,"D"
"exposure1393","mvmr",50,0.393933386636153,0.0153123823808646,5.55339043133579e-32,1,40,"D"
"exposure2393","mvmr",50,0.814441953320392,0.129896012241046,6.27523048142313e-08,2,40,"D"
"1403","MR Egger",19,-0.164178664259911,0.0636893408472417,0.0195565798652706,1,41,"D"
"2403","Weighted median",19,0.384103155681692,0.0245391290470296,3.1851415535589e-55,1,41,"D"
"3403","Inverse variance weighted",19,0.366152254576475,0.0297616303915309,8.74562680953032e-35,1,41,"D"
"4403","Simple mode",19,0.402922734305228,0.040542688470335,9.82358535202743e-09,1,41,"D"
"5403","Weighted mode",19,0.397933139144436,0.0361947406058182,2.03765218424191e-09,1,41,"D"
"exposure1403","mvmr",50,0.380684905454656,0.0156723424386965,9.69329174494669e-31,1,41,"D"
"exposure2403","mvmr",50,0.966255542975133,0.16684303059702,3.67566997889007e-07,2,41,"D"
"1415","MR Egger",19,0.137050942624241,0.0228899793841796,1.47009385537516e-05,1,42,"D"
"2415","Weighted median",19,0.314160616203054,0.0282153827631787,8.53427680010128e-29,1,42,"D"
"3415","Inverse variance weighted",19,0.316238954662096,0.0297953440162553,2.57341363322497e-26,1,42,"D"
"4415","Simple mode",19,0.342806698169259,0.0486226776982801,1.41105482354423e-06,1,42,"D"
"5415","Weighted mode",19,0.160334330282259,0.0267474650829901,1.1400582167475e-05,1,42,"D"
"exposure1415","mvmr",50,0.381750025964773,0.0173410173550452,1.21795465723511e-28,1,42,"D"
"exposure2415","mvmr",50,1.48947208204913,0.23376244702692,4.29863560501984e-08,2,42,"D"
"1423","MR Egger",20,-0.159629791120942,0.187448484854816,0.405627768672787,1,43,"D"
"2423","Weighted median",20,0.365574766577679,0.0254688053581307,1.00820259234158e-46,1,43,"D"
"3423","Inverse variance weighted",20,0.382622345158083,0.0153394833370063,2.50400716622083e-137,1,43,"D"
"4423","Simple mode",20,0.35308517865851,0.0433040380487131,1.26200539398176e-07,1,43,"D"
"5423","Weighted mode",20,0.35406748403151,0.0406356962172056,4.60856316718664e-08,1,43,"D"
"exposure1423","mvmr",50,0.387325168845938,0.0150287274172958,5.08018429829236e-32,1,43,"D"
"exposure2423","mvmr",50,0.0129687303520572,0.127081787814564,0.919094784909664,2,43,"D"
"1433","MR Egger",22,0.104815521533148,0.0316162637704451,0.00345340226359129,1,44,"D"
"2433","Weighted median",22,0.347796816123495,0.0233499687277576,3.55405027837177e-50,1,44,"D"
"3433","Inverse variance weighted",22,0.336769126156139,0.0268179027893514,3.61013896566886e-36,1,44,"D"
"4433","Simple mode",22,0.425792987912359,0.0412844466874049,1.12507713220356e-09,1,44,"D"
"5433","Weighted mode",22,0.413822923147384,0.0418411472048313,2.34927705146432e-09,1,44,"D"
"exposure1433","mvmr",50,0.384295806943885,0.0155119988589442,3.64178702176281e-31,1,44,"D"
"exposure2433","mvmr",50,1.18351612202736,0.173742996325319,8.32429360965648e-09,2,44,"D"
"1443","MR Egger",17,-0.176980586730418,0.0444239141345215,0.00119791013168916,1,45,"D"
"2443","Weighted median",17,0.356456332157343,0.0284827586361346,6.19554151530667e-36,1,45,"D"
"3443","Inverse variance weighted",17,0.330011137726915,0.0515246739950556,1.50453552223039e-10,1,45,"D"
"4443","Simple mode",17,0.389162504020102,0.043871432683251,1.41635233408555e-07,1,45,"D"
"5443","Weighted mode",17,0.370457662921648,0.040550665489542,9.51514511257432e-08,1,45,"D"
"exposure1443","mvmr",50,0.389149814217588,0.0197233014608819,2.37082648676564e-26,1,45,"D"
"exposure2443","mvmr",50,1.61618917082384,0.18775622059065,1.04297490848302e-11,2,45,"D"
"1453","MR Egger",19,0.588972140297431,0.0685344302696943,1.35861739005054e-07,1,46,"D"
"2453","Weighted median",19,0.395743462856732,0.0235240871016157,1.6582671779863e-63,1,46,"D"
"3453","Inverse variance weighted",19,0.424092810183068,0.0233639928341184,1.24815959866881e-73,1,46,"D"
"4453","Simple mode",19,0.414434387234748,0.0388539449977373,3.27936627948054e-09,1,46,"D"
"5453","Weighted mode",19,0.384915767981338,0.0385589281211865,9.17442857655796e-09,1,46,"D"
"exposure1453","mvmr",50,0.403203136643069,0.0144527075920823,9.43577971255173e-34,1,46,"D"
"exposure2453","mvmr",50,0.782835572290226,0.161208762351522,1.06481171249193e-05,2,46,"D"
"1463","MR Egger",19,0.377381636204439,0.0389962013196855,2.49834352859519e-08,1,47,"D"
"2463","Weighted median",19,0.398576315572377,0.0236375413647748,8.5635662645773e-64,1,47,"D"
"3463","Inverse variance weighted",19,0.390535615883964,0.0155192532971524,9.78514458427196e-140,1,47,"D"
"4463","Simple mode",19,0.395053217103364,0.0369518098587199,3.16325982235645e-09,1,47,"D"
"5463","Weighted mode",19,0.396117375778518,0.0332035661526115,5.54486353174763e-10,1,47,"D"
"exposure1463","mvmr",50,0.372252692539521,0.0180425736850352,2.80372257579461e-27,1,47,"D"
"exposure2463","mvmr",50,-0.163319206452484,0.222733829821241,0.466578384123026,2,47,"D"
"1473","MR Egger",20,0.107022900992755,0.0998663716552353,0.29803138717429,1,48,"D"
"2473","Weighted median",20,0.346451798714794,0.0236148583189941,9.89873952509039e-49,1,48,"D"
"3473","Inverse variance weighted",20,0.360973130270729,0.0155104238482354,8.33507597648864e-120,1,48,"D"
"4473","Simple mode",20,0.3882083231282,0.0465218948032335,8.90756209598129e-08,1,48,"D"
"5473","Weighted mode",20,0.354727854578936,0.0386243919525433,2.03592749254016e-08,1,48,"D"
"exposure1473","mvmr",50,0.351195655458809,0.014740009601231,2.51811805654305e-30,1,48,"D"
"exposure2473","mvmr",50,-0.267055614574642,0.171415353521569,0.125088398746926,2,48,"D"
"1483","MR Egger",16,-0.190994698809519,0.138630015259148,0.189912109169175,1,49,"D"
"2483","Weighted median",16,0.338576780189894,0.0249905160750606,8.11849012307847e-42,1,49,"D"
"3483","Inverse variance weighted",16,0.375979491820604,0.0200671796678785,2.51673054973144e-78,1,49,"D"
"4483","Simple mode",16,0.337934459896988,0.0433700742863158,1.18952109449676e-06,1,49,"D"
"5483","Weighted mode",16,0.330279104539725,0.0354609213036993,1.26239330905407e-07,1,49,"D"
"exposure1483","mvmr",50,0.381929219729723,0.017216614165904,8.3823441010053e-29,1,49,"D"
"exposure2483","mvmr",50,0.142393045173876,0.189895207673658,0.456599270102315,2,49,"D"
"1493","MR Egger",19,0.0335361962690226,0.0412324504310848,0.427265684426871,1,50,"D"
"2493","Weighted median",19,0.366329960039002,0.0243538009877697,3.89578481821485e-51,1,50,"D"
"3493","Inverse variance weighted",19,0.352468510853613,0.0299723041002548,6.28778772704613e-32,1,50,"D"
"4493","Simple mode",19,0.411543690962681,0.0371892566270939,1.83810733971338e-09,1,50,"D"
"5493","Weighted mode",19,0.39630627569878,0.0353131107175393,1.47176752116192e-09,1,50,"D"
"exposure1493","mvmr",50,0.388719073363498,0.019124032361232,5.73573584815324e-27,1,50,"D"
"exposure2493","mvmr",50,1.14528595242778,0.230072876959585,6.93070511163576e-06,2,50,"D"
"1503","MR Egger",22,0.213484088127692,0.0411013180308956,4.40639105918894e-05,1,51,"D"
"2503","Weighted median",22,0.34473056588746,0.0266296961790196,2.49643916619012e-38,1,51,"D"
"3503","Inverse variance weighted",22,0.35214931648718,0.0184484345699144,3.15862237240638e-81,1,51,"D"
"4503","Simple mode",22,0.345912221815022,0.0540653940272885,2.42286723469796e-06,1,51,"D"
"5503","Weighted mode",22,0.340139963759999,0.0434937020158703,1.18273769258873e-07,1,51,"D"
"exposure1503","mvmr",50,0.372938555765865,0.0170807778225743,1.81770382692861e-28,1,51,"D"
"exposure2503","mvmr",50,0.330006477811889,0.123112237699211,0.00972666487042359,2,51,"D"
"1515","MR Egger",17,-0.0135476970960721,0.179858592566841,0.940952215066212,1,52,"D"
"2515","Weighted median",17,0.38104945613916,0.0303618672528533,3.96185849138042e-36,1,52,"D"
"3515","Inverse variance weighted",17,0.402894450674253,0.0201906940727827,1.37088761807336e-88,1,52,"D"
"4515","Simple mode",17,0.366930658360905,0.0487500923681685,1.21196407353518e-06,1,52,"D"
"5515","Weighted mode",17,0.370270864781967,0.0471633926670291,7.07339081902111e-07,1,52,"D"
"exposure1515","mvmr",50,0.395937579450113,0.0198737936934221,1.49482785796759e-26,1,52,"D"
"exposure2515","mvmr",50,0.620068617865382,0.153490427056542,0.000170484245282782,2,52,"D"
"1523","MR Egger",16,0.0982500120115213,0.172304443411698,0.577571167252163,1,53,"D"
"2523","Weighted median",16,0.435715125379037,0.0288695748436614,1.81333756898436e-51,1,53,"D"
"3523","Inverse variance weighted",16,0.438777370652582,0.0225263446853187,1.67398865203547e-84,1,53,"D"
"4523","Simple mode",16,0.435436211159162,0.0508949986386482,3.73064544277895e-07,1,53,"D"
"5523","Weighted mode",16,0.437726005241839,0.0549570984358965,9.09017895188638e-07,1,53,"D"
"exposure1523","mvmr",50,0.427441764572479,0.0182719011030468,6.2163147370706e-30,1,53,"D"
"exposure2523","mvmr",50,0.704270290888246,0.166988084247779,9.48433364235617e-05,2,53,"D"
"1533","MR Egger",18,0.6108323878585,0.123544369980899,0.000146472033287976,1,54,"D"
"2533","Weighted median",18,0.391824129289306,0.0250661705492694,4.4358650913753e-55,1,54,"D"
"3533","Inverse variance weighted",18,0.396596724209926,0.0249397555196164,6.11880521913824e-57,1,54,"D"
"4533","Simple mode",18,0.419892936016718,0.0415350191821514,1.31977854368725e-08,1,54,"D"
"5533","Weighted mode",18,0.41044976398617,0.0409698106131827,1.50722684420217e-08,1,54,"D"
"exposure1533","mvmr",50,0.37506262066401,0.0138052120361159,3.59678468538232e-33,1,54,"D"
"exposure2533","mvmr",50,0.684363517233908,0.125198321672739,1.20420249246091e-06,2,54,"D"
"1543","MR Egger",18,0.257606554208408,0.151564107186824,0.108550605817472,1,55,"D"
"2543","Weighted median",18,0.395493980788537,0.0260305943215237,3.90924962006664e-52,1,55,"D"
"3543","Inverse variance weighted",18,0.3998725523768,0.0171499500837168,3.03327243206763e-120,1,55,"D"
"4543","Simple mode",18,0.424309006078992,0.0426284329670515,1.65728876025103e-08,1,55,"D"
"5543","Weighted mode",18,0.415746294118111,0.0397790711849985,8.07496426081635e-09,1,55,"D"
"exposure1543","mvmr",50,0.396862157391946,0.0158837915099318,2.38713163514084e-31,1,55,"D"
"exposure2543","mvmr",50,0.479289778296148,0.152046829798486,0.00264391653494827,2,55,"D"
"1553","MR Egger",18,0.0971069304694352,0.108524233721421,0.384160191502125,1,56,"D"
"2553","Weighted median",18,0.3923604392019,0.0282843149804365,9.36097638301928e-44,1,56,"D"
